"","Study_ID","PID1_1","PID2_1","PID3_1","PID4_1","PID5_1","PID6_1","PID7_1","PID8_1","PID9_1","PID10_1","PID11_1","PID12_1","PID13_1","PID14_1","PID15_1","PID16_1","PID17_1","PID18_1","PID19_1","PID20_1","PID21_1","PID22_1","PID23_1","PID24_1","PID25_1","Age","Gender","Ethnicity"
"144","17027","3","2","2","2","1","3","3","3","2","3","3","1","1","1","2","1","1","1","1","1","2","1","2","1","1","18","2","2"
"145","419","3","3","3","4","2","2","3","4","3","4","3","2","1","2","3","2","2","2","1","2","3","2","4","3","2","22","1","2"
"146","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"147","485","2","1","1","3","1","1","2","4","1","3","2","3","2","1","3","1","1","3","3","2","2","3","2","4","2","","2","2,7"
"148","452","1","2","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18","2","2"
"149","462","1","1","1","3","1","2","3","3","1","2","2","1","3","2","2","3","2","2","2","2","3","3","2","2","3","","1","6"
"150","439","3","3","3","2","3","2","3","2","2","3","2","1","2","1","2","3","1","1","2","2","3","3","2","2","2","18","1","3"
"151","543","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152","427","3","3","3","3","2","3","2","3","2","3","2","3","2","1","2","2","1","2","2","1","3","2","4","3","1","18","2","2"
"153","485","1","2","3","1","1","2","3","1","1","2","1","1","4","1","1","1","2","1","3","1","4","3","3","1","2","18","1","2"
"154","430","3","3","3","2","1","2","3","3","3","2","3","3","2","1","3","3","2","2","3","2","2","2","3","4","2","18","2","2,7"
"155","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156","498","2","2","2","1","1","1","3","4","2","1","1","1","1","1","1","1","1","1","4","1","1","1","3","1","1","19","2","3"
"157","442","2","2","2","3","1","1","3","4","3","1","1","1","1","3","3","3","2","3","1","1","4","4","4","3","4","","2","3"
"158","516","1","1","1","3","1","1","3","3","3","3","1","1","1","1","1","1","1","1","1","3","3","1","3","3","1","19","2","2"
"159","521","3","3","3","2","3","2","3","4","2","3","3","1","3","3","3","2","2","4","2","2","3","2","3","2","2","18","1","2"
"160","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161","412","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"162","420","1","1","1","1","1","2","1","2","1","2","2","1","4","3","1","2","1","3","1","2","1","1","2","2","1","18","1","6"
"163","17444","3","3","3","4","1","2","1","3","4","4","4","1","4","1","4","4","1","1","2","1","2","1","3","3","1","18","2","2"
"164","455","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","530","3","3","3","1","2","4","3","1","3","1","1","1","1","1","3","1","1","1","3","1","3","2","1","1","3","","2","2"
"167","529","1","3","3","3","2","2","3","4","4","2","2","1","3","3","3","4","1","2","3","2","3","1","1","2","1","23","2","7"
"168","527","1","1","1","1","1","1","1","2","1","1","1","2","2","2","2","2","1","2","2","2","2","1","1","2","1","19","2","7"
"169","535","3","3","2","3","4","1","3","3","3","2","4","4","1","1","4","1","1","3","3","1","3","1","4","4","1","26","1","7"
"170","417","1","2","2","2","1","1","1","3","3","2","2","2","2","1","3","1","1","1","2","1","1","1","1","2","2","18","2","6"
"171","525","1","1","1","1","1","1","1","2","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","2",""
"172","517","2","3","3","3","1","3","3","3","3","3","3","2","2","3","2","3","3","2","3","2","2","2","3","3","3","18","2","6"
"173","492","1","3","2","1","1","2","3","1","1","1","3","2","1","2","2","4","2","1","2","1","3","2","2","3","3","18","2","6"
"174","499","2","3","2","2","1","1","3","3","3","3","2","2","1","1","2","2","1","2","2","1","3","2","4","2","1","18","2","6"
"175","523","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","19","1","6"
"176","547","2","2","2","2","2","2","2","2","3","3","2","2","2","2","3","2","1","2","3","1","1","1","1","1","2","21","2","2"
"177","548","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","22","1","2"
"178","540","1","3","3","4","2","4","4","1","2","3","4","1","3","2","1","1","1","3","2","1","3","3","3","1","3","18","2","7"
"179","508","1","1","2","3","2","1","2","4","2","3","2","3","2","2","1","1","1","2","2","3","3","4","2","2","4","","1","7"
"180","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"181","420","1","1","1","1","1","3","1","4","2","1","2","1","4","3","3","1","2","3","1","2","1","1","2","1","1","18","1","6"
"182","555","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","2","4","1","2","1","3","4","1","1","4","21","1","2"
"183","552","1","1","1","1","1","1","2","2","3","1","1","3","1","1","1","1","1","1","1","1","3","1","1","1","1","","2","2"
"184","444","2","2","2","2","3","3","2","3","4","4","3","1","2","1","3","3","1","1","4","1","3","2","1","1","2","18","2","6"
"185","473","1","3","3","2","1","2","1","2","1","3","3","2","3","1","3","2","1","2","2","2","3","3","3","3","3","19","1","7"
"186","550","1","1","1","1","1","4","2","4","4","1","1","1","1","1","3","1","1","1","1","1","3","1","3","2","1","18","2","2"
"187","546","1","2","2","2","2","1","2","3","2","3","3","2","3","1","2","3","2","2","2","2","3","2","2","2","2","","2","7"
"188","494","3","3","2","2","2","2","2","2","2","4","2","2","4","1","3","3","1","3","1","1","1","1","1","1","1","18","2","2"
"189","549","1","1","1","1","2","4","4","2","1","1","1","1","1","2","1","1","3","3","1","2","4","3","3","1","3","25","2","7"
"190","521","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"191","560","1","1","1","3","1","1","3","3","1","1","2","2","3","2","1","4","2","3","1","1","2","1","1","2","1","21","2","6"
"192","420","1","1","1","1","1","1","1","2","1","2","2","1","4","3","1","3","1","2","2","2","2","1","2","1","1","18","1","6"
"193","563","1","2","3","4","3","2","1","2","3","4","3","2","1","2","3","4","3","2","1","2","3","4","3","2","1","18","2","2"
"194","567","2","3","3","4","2","2","4","4","4","3","3","3","1","3","4","2","1","2","3","3","4","3","4","2","3","","2","2"
"195","551","3","3","2","4","3","3","4","3","2","3","1","1","4","2","2","3","1","1","2","1","3","2","4","4","2","18","2","7"
"196","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197","416","1","3","2","2","2","4","3","2","1","1","2","2","3","1","1","1","1","1","4","3","2","1","1","1","1","18","2","6"
"198","561","1","1","","4","2","2","4","3","2","3","1","4","4","1","3","2","1","1","3","2","4","1","4","4","1","18","2","2"
"199","577","2","2","2","3","2","2","3","3","2","3","3","2","4","3","2","3","2","3","3","3","3","3","3","2","3","18","2","3"
"200","572","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","3","2","21","2","2"
"201","518","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","18","1","2"
"202","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204","581","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","19","2","7"
